game_id,team_id_home,team_id_away,pts_paint_home,pts_paint_away,pts_2nd_chance_home,pts_2nd_chance_away,pts_fb_home,pts_fb_away,lead_changes,times_tied,team_turnovers_home,team_turnovers_away,total_turnovers_home,total_turnovers_away,team_rebounds_home,team_rebounds_away,pts_off_to_home,pts_off_to_away
29600142,1610612746,1610612759,40,38,12,11,8,18,5,0,1.0,0.0,16.0,15.0,12.0,9.0,0.0,0.0
29600144,1610612762,1610612747,48,44,2,15,10,11,8,11,2.0,0.0,15.0,15.0,7.0,9.0,0.0,0.0
29600139,1610612755,1610612754,18,42,18,15,12,9,15,6,0.0,0.0,22.0,15.0,8.0,7.0,0.0,0.0
29600150,1610612749,1610612737,38,38,12,11,12,10,0,2,0.0,0.0,10.0,14.0,10.0,16.0,0.0,0.0
29600148,1610612751,1610612765,28,26,5,6,12,6,1,4,0.0,2.0,15.0,16.0,7.0,7.0,0.0,0.0
29600151,1610612746,1610612742,42,50,20,20,13,21,1,0,1.0,0.0,14.0,12.0,6.0,5.0,0.0,0.0
29600154,1610612762,1610612744,48,32,18,16,11,3,13,7,0.0,1.0,22.0,18.0,9.0,10.0,0.0,0.0
29600147,1610612761,1610612739,32,32,17,12,20,17,5,0,0.0,0.0,18.0,16.0,7.0,9.0,0.0,0.0
29600155,1610612738,1610612760,30,52,21,8,13,30,8,4,1.0,0.0,21.0,13.0,14.0,9.0,0.0,0.0
29600157,1610612747,1610612759,46,52,16,17,11,6,6,5,0.0,1.0,18.0,22.0,4.0,9.0,0.0,0.0
29600156,1610612764,1610612755,54,38,15,10,19,11,0,0,0.0,0.0,23.0,26.0,10.0,6.0,0.0,0.0
29600160,1610612755,1610612752,32,30,12,7,10,13,9,10,1.0,0.0,18.0,21.0,14.0,8.0,0.0,0.0
29600165,1610612746,1610612750,42,44,14,14,12,8,11,13,0.0,1.0,14.0,22.0,13.0,11.0,0.0,0.0
29600161,1610612766,1610612765,24,26,7,12,10,7,3,10,0.0,2.0,11.0,13.0,9.0,9.0,0.0,0.0
29600168,1610612757,1610612743,52,24,17,8,13,12,0,0,2.0,0.0,23.0,17.0,12.0,14.0,0.0,0.0
29600167,1610612745,1610612744,48,42,17,1,8,4,5,9,2.0,1.0,15.0,21.0,13.0,5.0,0.0,0.0
29600159,1610612742,1610612751,46,48,11,18,10,16,3,1,1.0,0.0,18.0,16.0,13.0,7.0,0.0,0.0
29600166,1610612762,1610612741,48,26,9,11,18,4,8,11,0.0,0.0,9.0,11.0,5.0,6.0,0.0,0.0
29600164,1610612749,1610612764,48,56,20,12,14,18,10,3,0.0,0.0,17.0,8.0,11.0,10.0,0.0,0.0
29600169,1610612738,1610612742,32,54,8,14,15,19,0,5,0.0,1.0,21.0,19.0,12.0,13.0,0.0,0.0
29600170,1610612752,1610612760,26,34,13,16,7,10,15,10,0.0,0.0,21.0,15.0,4.0,7.0,0.0,0.0
29600174,1610612759,1610612763,42,40,11,7,4,14,1,4,0.0,0.0,18.0,11.0,9.0,9.0,0.0,0.0
29600171,1610612758,1610612739,24,50,6,17,5,4,8,4,0.0,0.0,14.0,11.0,7.0,6.0,0.0,0.0
29600178,1610612746,1610612741,30,22,17,17,2,8,1,4,2.0,1.0,16.0,14.0,8.0,11.0,0.0,0.0
29600175,1610612764,1610612750,36,42,7,15,16,22,0,0,1.0,1.0,14.0,22.0,10.0,8.0,0.0,0.0
29600176,1610612753,1610612749,36,50,15,19,4,9,15,7,0.0,0.0,12.0,13.0,9.0,8.0,0.0,0.0
29600177,1610612751,1610612762,22,58,18,13,4,29,0,0,0.0,1.0,13.0,20.0,10.0,8.0,0.0,0.0
29600186,1610612744,1610612748,42,40,16,12,6,4,10,4,0.0,0.0,14.0,16.0,7.0,10.0,0.0,0.0
29600180,1610612760,1610612766,44,32,14,15,12,18,6,5,0.0,1.0,16.0,13.0,6.0,7.0,0.0,0.0
29600179,1610612747,1610612755,44,44,21,25,11,21,14,9,2.0,2.0,20.0,23.0,12.0,6.0,0.0,0.0
29600184,1610612745,1610612757,46,28,15,16,12,8,11,17,0.0,0.0,17.0,22.0,11.0,6.0,0.0,0.0
29600183,1610612759,1610612742,40,36,23,8,9,14,4,4,3.0,0.0,14.0,11.0,13.0,6.0,0.0,0.0
29600185,1610612756,1610612743,40,40,16,15,19,21,10,16,0.0,0.0,12.0,19.0,8.0,9.0,0.0,0.0
29600181,1610612763,1610612737,36,46,10,13,6,8,0,0,2.0,1.0,13.0,16.0,4.0,10.0,0.0,0.0
29600194,1610612743,1610612762,26,50,8,23,10,14,7,5,1.0,0.0,20.0,11.0,6.0,5.0,0.0,0.0
29600188,1610612737,1610612753,42,36,4,17,9,2,4,3,1.0,2.0,11.0,13.0,5.0,8.0,0.0,0.0
