person_id,display_first_last,position,season_exp,height,weight,from_year,to_year,height_inches
1629057,Robert Williams III,Center-Forward,5.0,6-9,237.0,2018.0,2023.0,81.0
1628475,Matt Williams Jr.,Guard,1.0,6-5,210.0,2017.0,2017.0,77.0
1631246,Vince Williams Jr.,Guard,1.0,6-4,205.0,2022.0,2023.0,76.0
1628430,Nigel Williams-Goss,Guard,2.0,6-2,190.0,2019.0,2019.0,74.0
722,Corliss Williamson,Forward,13.0,6-7,245.0,1995.0,2006.0,79.0
78575,John Williamson,Guard,5.0,6-2,185.0,1976.0,1980.0,74.0
1629627,Zion Williamson,Forward,3.0,6-6,284.0,2019.0,2023.0,78.0
788,Kevin Willis,Center-Forward,22.0,7-0,245.0,1984.0,2006.0,84.0
78577,Bill Willoughby,Forward,8.0,6-8,205.0,1975.0,1983.0,80.0
2000,Dedric Willoughby,Guard,1.0,6-3,180.0,1999.0,1999.0,75.0
78586,Bob Wilson,Guard,1.0,6-4,185.0,1951.0,1951.0,76.0
78585,Bobby Wilson,Guard,4.0,6-2,175.0,1974.0,1977.0,74.0
1628391,D.J. Wilson,Forward,6.0,6-10,231.0,2017.0,2021.0,82.0
78579,George Wilson,Center,7.0,6-8,225.0,1964.0,1970.0,80.0
78580,Isaiah Wilson,Guard,1.0,6-2,175.0,1971.0,1971.0,74.0
203966,Jamil Wilson,Forward,1.0,6-7,229.0,2017.0,2017.0,79.0
78582,Nikita Wilson,Forward,1.0,6-8,200.0,1987.0,1987.0,80.0
78578,Othell Wilson,Guard,2.0,6-0,190.0,1984.0,1986.0,72.0
78583,Rick Wilson,Guard,2.0,6-4,200.0,1978.0,1979.0,76.0
78584,Ricky Wilson,Guard,1.0,6-3,195.0,1987.0,1987.0,75.0
78587,Thomas Wilson,Guard,1.0,6-3,175.0,1979.0,1979.0,75.0
1027,Trevor Wilson,Forward,4.0,6-7,210.0,1990.0,1995.0,79.0
1627787,Kyle Wiltjer,Forward,2.0,6-10,240.0,2016.0,2016.0,82.0
78589,Kennard Winchester,Forward,3.0,6-5,210.0,1990.0,1992.0,77.0
1629685,Dylan Windler,Guard-Forward,3.0,6-7,196.0,2019.0,2023.0,79.0
78591,John Windsor,Forward,1.0,6-8,215.0,1963.0,1963.0,80.0
78592,Lee Winfield,Guard,7.0,6-2,174.0,1969.0,1975.0,74.0
766,David Wingate,Guard-Forward,15.0,6-5,187.0,1986.0,2000.0,77.0
112,Dontonio Wingfield,Forward,4.0,6-8,256.0,1994.0,1997.0,80.0
78596,Harthorne Wingo,Forward,4.0,6-6,210.0,1972.0,1975.0,78.0
78597,Marv Winkler,Guard,1.0,6-1,164.0,1970.0,1970.0,73.0
1626159,Justise Winslow,Forward-Guard,8.0,6-6,222.0,2015.0,2023.0,78.0
1984,Rickie Winslow,Forward,1.0,6-8,225.0,1987.0,1987.0,80.0
1630216,Cassius Winston,Guard,3.0,6-1,185.0,2020.0,2021.0,73.0
1868,Trevor Winter,Center,1.0,7-0,275.0,1998.0,1998.0,84.0
78600,Brian Winters,Guard,9.0,6-4,185.0,1974.0,1982.0,76.0
78601,Voise Winters,Forward,1.0,6-8,200.0,1985.0,1985.0,80.0
78602,Willie Wise,Forward,2.0,6-6,210.0,1976.0,1977.0,78.0
1630164,James Wiseman,Center,2.0,7-0,240.0,2020.0,2023.0,84.0
203481,Jeff Withey,Center,5.0,7-0,230.0,2013.0,2017.0,84.0
78603,Luke Witte,Center,3.0,7-0,235.0,1973.0,1975.0,84.0
1456,Randy Wittman,Guard,9.0,6-6,210.0,1983.0,1991.0,78.0
78605,Garry Witts,Guard,1.0,6-7,190.0,1981.0,1981.0,79.0
